chromosome_index	position	cluster_index
1	1	5
1	2	4
1	3	5
1	4	0
1	5	5
1	6	2
1	7	0
1	8	4
1	9	4
1	10	0
1	11	0
1	12	0
1	13	0
1	14	1
1	15	2
1	16	5
1	17	3
1	18	5
1	19	4
1	20	5
1	21	4
1	22	5
1	23	5
1	24	4
1	25	5
1	26	0
1	27	0
1	28	0
1	29	0
1	30	0
1	31	1
1	32	5
1	33	5
1	34	1
1	35	0
1	36	0
1	37	0
1	38	5
1	39	5
1	40	2
1	41	5
1	42	4
1	43	5
1	44	3
1	45	5
1	46	5
1	47	0
1	48	5
1	49	5
1	50	5
1	51	2
1	52	1
1	53	5
1	54	0
1	55	4
1	56	4
1	57	0
1	58	4
1	59	0
1	60	2
1	61	5
1	62	3
1	63	5
1	64	5
1	65	0
1	66	3
1	67	5
1	68	5
1	69	0
1	70	1
1	71	0
1	72	4
1	73	5
1	74	2
1	75	0
1	76	3
1	77	4
1	78	4
1	79	0
1	80	5
1	81	0
1	82	5
1	83	5
1	84	4
1	85	5
1	86	5
1	87	5
1	88	5
1	89	5
1	90	0
1	91	5
1	92	4
1	93	0
1	94	5
1	95	0
1	96	1
1	97	2
1	98	0
1	99	5
1	100	4
1	101	4
1	102	0
1	103	3
1	104	1
1	105	5
1	106	3
1	107	0
1	108	5
1	109	5
1	110	1
1	111	4
1	112	1
1	113	2
1	114	1
1	115	1
1	116	5
1	117	5
1	118	5
1	119	5
1	120	0
1	121	2
1	122	0
1	123	0
1	124	0
1	125	2
1	126	1
1	127	1
1	128	4
1	129	4
1	130	0
1	131	5
1	132	3
1	133	1
1	134	5
1	135	5
1	136	5
1	137	4
1	138	2
1	139	2
1	140	4
1	141	4
1	142	0
1	143	4
1	144	0
1	145	5
1	146	5
1	147	0
1	148	0
1	149	1
1	150	5
1	151	0
1	152	0
1	153	0
1	154	4
1	155	4
1	156	5
1	157	4
1	158	5
1	159	5
1	160	0
1	161	1
1	162	1
1	163	5
1	164	0
1	165	1
1	166	0
1	167	0
1	168	0
1	169	2
1	170	3
1	171	4
1	172	4
1	173	3
1	174	4
1	175	4
1	176	5
1	177	5
1	178	5
1	179	4
1	180	5
1	181	4
1	182	4
1	183	5
1	184	5
1	185	5
1	186	3
1	187	3
1	188	4
1	189	5
1	190	5
1	191	0
1	192	4
1	193	4
1	194	5
1	195	5
1	196	5
1	197	4
1	198	4
1	199	3
1	200	4
1	201	4
1	202	5
1	203	4
1	204	5
1	205	4
1	206	5
1	207	4
1	208	4
1	209	5
1	210	2
1	211	3
1	212	3
1	213	5
1	214	4
1	215	4
1	216	3
1	217	4
